"","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch1_num","atn_ch2_num","atn_ch3_num","atn_ch_sum","atn_ch","Participant","Image","accuracy","confidence","time_taken","AI_use","AI","Bar","Group","animal"
"93",32,1,1,4,3,0.4,0,1,1,1,3,1,"R_1PTsrMRaxBVJ3Li","Cherry",0,0.6,14.607,NA,0,0,"No_AI",0
"94",20,0,0,3,4,0.6,0.2,1,1,1,3,1,"R_2fATs8WTUoK2c5C","Cherry",0,1,4.911,NA,0,0,"No_AI",0
"95",36,0,0,4,3,0.6,0.2,1,1,1,3,1,"R_DdTjh74QzXNHIaZ","Cherry",0,0.6,6.34,NA,0,0,"No_AI",0
"96",34,1,0,2,4,0.4,0,1,1,1,3,1,"R_vITXm5mp1EtaDLP","Cherry",0,1,4.145,NA,0,0,"No_AI",0
"97",20,0,0,4,2,0.6,0.4,1,1,1,3,1,"R_2ZNWWm7JSRn4WSU","Cherry",0,0.8,12.585,NA,0,0,"No_AI",0
"98",36,0,0,5,2,0,0,1,1,0,2,0,"R_2ScxbuZLpxXGhZB","Cherry",0,1,9.201,NA,0,0,"No_AI",0
"99",33,1,0,4,4,0.6,0,1,1,1,3,1,"R_6Yktf5yRyYQq5CV","Cherry",0,1,2.927,NA,0,0,"No_AI",0
"100",26,1,0,2,3,1,0.2,1,0,0,1,0,"R_2cBhg2q86tKTvOY","Cherry",0,1,4.9,NA,0,0,"No_AI",0
"101",20,0,0,4,4,0.8,0.2,1,1,1,3,1,"R_1fjyKx3MpvlArLz","Cherry",0,0.4,23.369,NA,0,0,"No_AI",0
"102",20,0,0,3,4,0.4,0,1,1,1,3,1,"R_2xUXdzK9YkR2JC7","Cherry",0,0.6,12.717,NA,0,0,"No_AI",0
"103",22,1,0,4,3,0.2,0,1,1,1,3,1,"R_2e4jjNhizs8CCEJ","Cherry",0,1,3.375,NA,0,0,"No_AI",0
"104",31,1,1,4,4,0.4,0.2,1,1,1,3,1,"R_1118Q5jQdKSYqCf","Cherry",0,0.8,4.193,NA,0,0,"No_AI",0
"105",19,0,1,4,3,0.8,0.4,0,0,0,0,0,"R_3G7XoU6W2Rpc07a","Cherry",0,1,12.928,NA,0,0,"No_AI",0
"106",42,1,1,2,4,0.2,0,1,1,1,3,1,"R_1jIjvIpE80Qg7Th","Cherry",0,1,6.389,NA,0,0,"No_AI",0
"107",46,1,0,4,4,0.2,0,1,1,1,3,1,"R_2cvH21TruCbSnrh","Cherry",0,1,11.751,NA,0,0,"No_AI",0
"108",30,0,1,4,3,0.4,0,1,1,1,3,1,"R_3iybB6S0OqfYsir","Cherry",1,0.6,6.535,NA,0,0,"No_AI",0
"109",23,0,1,5,2,0.6,0.4,1,1,1,3,1,"R_w6tKRNDOUb7NFSN","Cherry",0,0.2,13.114,NA,0,0,"No_AI",0
"110",56,0,1,1,1,0.2,0,1,1,1,3,1,"R_3Pdx2J4VK1deDv2","Cherry",0,1,14.512,NA,0,0,"No_AI",0
"111",18,0,1,5,2,0.4,0,1,1,1,3,1,"R_3rY7Dy21ENawstb","Cherry",0,1,3.101,NA,0,0,"No_AI",0
"112",30,1,0,2,2,1,0,1,0,1,2,0,"R_3kFYnZ6hDbkfb3c","Cherry",0,1,3.023,NA,0,0,"No_AI",0
"113",22,1,1,4,4,0.4,0,1,1,1,3,1,"R_3fv10VMtORusggP","Cherry",0,1,15.575,NA,0,0,"No_AI",0
"114",36,1,1,2,4,0.2,0,1,1,1,3,1,"R_2tJQLagG2M6QdOa","Cherry",0,1,17.779,NA,0,0,"No_AI",0
"115",27,0,0,3,4,0.6,0.4,1,0,1,2,0,"R_1OUhaHX2ruEcKJT","Cherry",0,0.4,7.266,NA,0,0,"No_AI",0
"116",38,1,0,4,5,0.2,0,1,1,1,3,1,"R_1Q48jAD4pTY0iwE","Cherry",0,1,7.987,NA,0,0,"No_AI",0
"117",27,1,1,4,5,0.2,0,1,1,1,3,1,"R_29ay5nG6FZMFmIO","Cherry",0,1,4.814,NA,0,0,"No_AI",0
"118",20,0,0,2,2,0.6,0,1,1,1,3,1,"R_1kZXPjgdTdh1AjP","Cherry",0,1,14.447,NA,0,0,"No_AI",0
"119",23,1,0,2,4,0.4,0,1,1,1,3,1,"R_SMYK1tVcbNmEcTL","Cherry",0,1,7.598,NA,0,0,"No_AI",0
"120",36,1,1,4,4,0.4,0,1,1,1,3,1,"R_1pVVZ3s1CXu4QaD","Cherry",0,1,11.19,NA,0,0,"No_AI",0
"121",18,0,0,2,4,0.2,0.4,1,1,1,3,1,"R_1gdxr3201bY7lCK","Cherry",0,0.8,15.107,NA,0,0,"No_AI",0
"122",22,1,0,4,4,0.4,0.2,1,1,1,3,1,"R_3OcZLD9v026y7mT","Cherry",1,0.8,12.597,NA,0,0,"No_AI",0
"123",18,0,1,5,4,0.4,0.4,1,1,1,3,1,"R_2DSqmhukIDHwKq0","Cherry",0,1,4.185,NA,0,0,"No_AI",0
"124",31,0,0,5,4,0.2,0,1,1,1,3,1,"R_2S2MzXJuLzJTOFy","Cherry",1,0,10.089,NA,0,0,"No_AI",0
"125",39,1,0,4,2,0.4,0.2,1,1,1,3,1,"R_1nOZBpHU8HVRcH4","Cherry",0,0.6,4.697,NA,0,0,"No_AI",0
"126",38,1,1,4,4,0.8,0.2,1,0,0,1,0,"R_3PN5vXNaw42oN8v","Cherry",0,1,2.714,NA,0,0,"No_AI",0
"127",21,0,0,4,3,0.2,0.2,1,1,1,3,1,"R_6s2aZB6FLy5MkCt","Cherry",0,1,19.629,NA,0,0,"No_AI",0
"128",52,1,0,4,4,0.4,0.2,1,1,1,3,1,"R_115550r3jsDbEz3","Cherry",0,0.4,5.607,NA,0,0,"No_AI",0
"129",26,1,0,4,4,0.4,0.2,1,1,1,3,1,"R_3RykCmjgM2Us0yf","Cherry",0,1,3.555,NA,0,0,"No_AI",0
"130",36,1,1,2,2,0.6,0,0,1,1,2,0,"R_2QMz6qy0Rw9fREh","Cherry",0,1,5.159,NA,0,0,"No_AI",0
"131",31,0,1,4,4,0.6,0.2,1,0,0,1,0,"R_2OIUJ9msNibA5yl","Cherry",0,0.4,11.188,NA,0,0,"No_AI",0
"132",27,0,1,4,2,0.6,0.4,0,1,1,2,0,"R_3sdHLxIfsyO8mug","Cherry",0,0.2,7.25,NA,0,0,"No_AI",0
"133",38,0,1,4,2,0.6,0.4,1,1,1,3,1,"R_2agDKb9RVaB7Fmr","Cherry",0,1,4.56,NA,0,0,"No_AI",0
"134",51,1,0,2,4,0.4,0.2,1,1,1,3,1,"R_3ERXkInRZ4NtkC1","Cherry",0,1,8.876,NA,0,0,"No_AI",0
"135",23,1,0,2,4,0.4,0,1,1,1,3,1,"R_wYU8Ay6n4JYZCWl","Cherry",0,0.8,8.32,NA,0,0,"No_AI",0
"136",32,0,0,4,3,0.8,0,1,0,1,2,0,"R_3kjGeZPZPhdUmWe","Cherry",0,1,4.384,NA,0,0,"No_AI",0
"137",50,0,1,5,2,1,0.6,1,0,1,2,0,"R_2YxhIfMLMuBu5Yw","Cherry",0,1,12.454,NA,0,0,"No_AI",0
"138",55,1,1,5,5,0.2,0.2,1,0,1,2,0,"R_2ygfLUFaggmBQaK","Cherry",0,0.8,5.519,NA,0,0,"No_AI",0
"139",21,1,1,4,3,0.6,0,1,1,1,3,1,"R_2TYkTN8cgPC5ukE","Cherry",0,0.8,9.632,NA,0,0,"No_AI",0
"140",41,0,0,4,2,0.8,0,1,1,1,3,1,"R_p3rnbbpcsldDCsp","Cherry",0,1,6.242,NA,0,0,"No_AI",0
"141",28,0,0,4,4,0.4,0,1,1,1,3,1,"R_2sdpWvbS4vVLQYY","Cherry",0,1,11.73,NA,0,0,"No_AI",0
"142",31,1,0,1,4,0.8,0.6,1,1,1,3,1,"R_bCuE4HUBiyUmrmx","Cherry",0,0.8,5.159,NA,0,0,"No_AI",0
"143",23,1,0,2,4,0,0,1,1,1,3,1,"R_vGrVNIqJgvPHmYp","Cherry",1,0.8,12.7,NA,0,0,"No_AI",0
