"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","AI","bar"
"231","R_21zzGKM7iwBK4ro",22,1,1,3,2,0.4,0.2,1,0.615384615384615,0.692307692307692,7.02,0.630769230769231,1,1
"232","R_27xRjOXD126VLMu",28,0,0,5,4,0.6,0.2,1,0.615384615384615,0.615384615384615,6.326,0.784615384615385,1,1
"233","R_1rluEh5Zo5QIoAJ",36,1,1,4,4,0.6,0,0,0.615384615384615,0.676923076923077,16.9683846153846,0.723076923076923,1,0
"234","R_3MDznKTUj3fvOxW",25,0,0,2,4,0.8,0.2,0,0.692307692307692,0.430769230769231,5.40507692307692,0.461538461538462,1,1
"235","R_1I4rKEIgLpt3GuB",38,0,1,2,3,0.4,0,0,0.769230769230769,0.784615384615385,12.6643846153846,0.738461538461538,1,1
"236","R_DpkR6vZ2iL5rMn7",20,0,1,3,2,0.4,0.2,1,0.384615384615385,0.523076923076923,6.88623076923077,0.584615384615385,1,0
"237","R_1QtlhAsDepwI9RN",19,0,1,1,4,0.6,0,1,0.615384615384615,0.615384615384615,6.21138461538462,0.6,1,0
"238","R_1F9rPW57TS2Nz7j",28,1,0,1,4,0.2,0,1,0.615384615384615,0.476923076923077,6.48984615384615,0.461538461538462,1,0
"239","R_3RkCeoxW3QHvbUE",25,1,1,3,NA,0.6,0.2,1,0.692307692307692,0.707692307692308,4.44569230769231,0.676923076923077,1,1
"240","R_2TEFTZFF7BLVxFe",18,0,0,4,2,0.4,0,1,0.615384615384615,0.615384615384615,5.48746153846154,0.523076923076923,1,1
"241","R_27JC9L7yPkmOEt5",29,1,1,4,2,0.4,0.4,1,0.615384615384615,0.784615384615385,4.77692307692308,0.784615384615385,1,0
"242","R_110gucIytMMzhRT",30,1,0,4,4,0.6,0,1,0.461538461538462,0.415384615384615,8.43892307692308,0.292307692307692,1,0
"243","R_6yDv4POVNnikrzH",25,0,0,3,4,0.6,0,1,0.615384615384615,0.476923076923077,5.818,0.538461538461538,1,0
"244","R_3Eh61fVL4wYbZBY",20,0,1,2,4,1,0,1,0.692307692307692,0.646153846153846,7.10246153846154,0.384615384615385,1,0
"245","R_1Kfj7417wIlqllb",27,1,1,3,2,0.6,0.2,1,0.692307692307692,0.753846153846154,10.7428461538462,0.553846153846154,1,1
"246","R_sHJu8Tm2ys4fFsZ",37,1,0,4,2,0.6,0.6,1,0.461538461538462,0.876923076923077,7.29915384615385,0.738461538461538,1,0
"247","R_31HNMw1wqj2Q5lP",24,1,1,4,4,0.6,0,1,0.615384615384615,0.723076923076923,8.22661538461538,0.492307692307692,1,1
"248","R_zVwVCcoJbKqVHyN",27,1,0,2,4,0.4,0.2,1,0.461538461538462,0.446153846153846,10.7215384615385,0.338461538461538,1,1
"249","R_PGVws6TJenVHYpr",39,1,1,5,2,0.8,0.6,1,0.615384615384615,0.523076923076923,10.0901538461538,0.538461538461538,1,1
"250","R_1FG34AxEY8JntO3",20,0,1,3,4,0,0,1,0.692307692307692,0.784615384615385,9.84815384615385,0.553846153846154,1,1
"251","R_3dTedqThDLeKo53",32,1,1,4,2,0.2,0,1,0.384615384615385,0.415384615384615,4.06546153846154,0.6,1,0
