"","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch1_num","atn_ch2_num","atn_ch3_num","atn_ch_sum","atn_ch","Participant","Image","accuracy","confidence","time_taken","AI_use","AI","Bar","Group","animal"
"21",41,0,1,4,4,0.2,0,1,1,1,3,1,"R_uknfXYnH7IEu6xb","Barc",0,0.2,13.57,NA,0,0,"No_AI",1
"22",30,0,1,3,2,0.4,0.4,1,0,1,2,0,"R_3KwJ0CY6mYNnCWX","Barc",0,0.2,19.077,NA,0,0,"No_AI",1
"23",23,0,1,3,2,0.2,0,1,1,1,3,1,"R_2VCRRO3FlQGg4yf","Barc",1,0,5.112,NA,0,0,"No_AI",1
"24",35,1,0,4,4,0.4,0,1,1,1,3,1,"R_3GllcSVAbWgPJc6","Barc",0,0,9.003,NA,0,0,"No_AI",1
"25",27,0,1,4,3,0.6,0,1,0,1,2,0,"R_PTHzERZQpfZFYLT","Barc",0,0.2,14.63,NA,0,0,"No_AI",1
"26",20,0,0,3,4,0.6,0,1,1,1,3,1,"R_XRkHP28XftIToGZ","Barc",0,0,7.382,NA,0,0,"No_AI",1
"27",59,0,0,1,2,1,0.4,1,1,1,3,1,"R_2Xii2SX9yhNcbdr","Barc",0,0.8,12.314,NA,0,0,"No_AI",1
"28",23,0,1,4,2,0.4,0.2,1,1,1,3,1,"R_2OOWqGVsHSMpKYP","Barc",0,0.4,19.101,NA,0,0,"No_AI",1
"29",21,0,1,4,4,0.4,0,1,1,1,3,1,"R_r9FFDydNduScHYZ","Barc",1,0.4,35.568,NA,0,0,"No_AI",1
"30",22,1,1,3,2,0.4,0.2,1,1,1,3,1,"R_21zzGKM7iwBK4ro","Barc",0,0,9.028,NA,0,0,"No_AI",1
"31",28,0,0,5,4,0.6,0.2,1,1,1,3,1,"R_27xRjOXD126VLMu","Barc",0,0.4,11.311,NA,0,0,"No_AI",1
"32",36,1,1,4,4,0.6,0,0,1,1,2,0,"R_1rluEh5Zo5QIoAJ","Barc",0,0.4,7.79,NA,0,0,"No_AI",1
"33",25,0,0,2,4,0.8,0.2,1,0,1,2,0,"R_3MDznKTUj3fvOxW","Barc",0,0.4,9.799,NA,0,0,"No_AI",1
"34",38,0,1,2,3,0.4,0,1,0,1,2,0,"R_1I4rKEIgLpt3GuB","Barc",0,0.4,13.173,NA,0,0,"No_AI",1
"35",20,0,1,3,2,0.4,0.2,1,1,1,3,1,"R_DpkR6vZ2iL5rMn7","Barc",0,1,7.213,NA,0,0,"No_AI",1
"36",19,0,1,1,4,0.6,0,1,1,1,3,1,"R_1QtlhAsDepwI9RN","Barc",0,0.2,5.194,NA,0,0,"No_AI",1
"37",28,1,0,1,4,0.2,0,1,1,1,3,1,"R_1F9rPW57TS2Nz7j","Barc",0,0,9.095,NA,0,0,"No_AI",1
"38",25,1,1,3,NA,0.6,0.2,1,1,1,3,1,"R_3RkCeoxW3QHvbUE","Barc",0,0.4,7.927,NA,0,0,"No_AI",1
"39",18,0,0,4,2,0.4,0,1,1,1,3,1,"R_2TEFTZFF7BLVxFe","Barc",0,0,4.089,NA,0,0,"No_AI",1
"40",29,1,1,4,2,0.4,0.4,1,1,1,3,1,"R_27JC9L7yPkmOEt5","Barc",0,0.2,14.65,NA,0,0,"No_AI",1
"41",30,1,0,4,4,0.6,0,1,1,1,3,1,"R_110gucIytMMzhRT","Barc",0,0,7.583,NA,0,0,"No_AI",1
"42",25,0,0,3,4,0.6,0,1,1,1,3,1,"R_6yDv4POVNnikrzH","Barc",0,0,17.244,NA,0,0,"No_AI",1
"43",20,0,1,2,4,1,0,1,1,1,3,1,"R_3Eh61fVL4wYbZBY","Barc",0,0.4,14.706,NA,0,0,"No_AI",1
"44",27,1,1,3,2,0.6,0.2,1,1,1,3,1,"R_1Kfj7417wIlqllb","Barc",0,0.2,9.928,NA,0,0,"No_AI",1
"45",37,1,0,4,2,0.6,0.6,1,1,1,3,1,"R_sHJu8Tm2ys4fFsZ","Barc",0,0.6,9.403,NA,0,0,"No_AI",1
"46",24,1,1,4,4,0.6,0,1,1,1,3,1,"R_31HNMw1wqj2Q5lP","Barc",0,0.2,9.832,NA,0,0,"No_AI",1
